listing_id,host_id,host_since,city,neighbourhood,property_type,room_type,price_per_night,minimum_nights,number_of_reviews,last_review_date,review_score,availability_365,instant_bookable,host_is_superhost,cancellation_policy,description
16,4444,2021-08-15,Nakuru,CBD,Condo,Entire home/apt,14780$,14,237,2024-04-16,4.38,340,False,False,Flexible,Spacious apartment with great view!!!
17,4171,2019-09-25,Nairobi,Westlands,Villa,Private room,5035,14,163,2016-01-13,2.4,337,1,Y,Flexible,Modern loft -- newly renovated
18,3919,2015-05-11,Mombasa,Kilimani,Villa,Hotel room,24888,5,96,,3.89,264,True,False,Strict ,Luxury villa with pool & gym access
19,4735,2015-05-03,Nairobi,Kilimani,Villa,Shared room,12082,14,256,2020-05-04,,3,Y,Yes,Strict ,
20,1130,2016-01-19,Mombasa,Milimani,Condo,Shared room,"KES 4,413",,261,2015-11-16,4.32,168,No,False,Flexible,Modern loft -- newly renovated
21,2685,2017-06-14,Mombasa,Karen,Apartment,Entire home/apt,3840$,5,292,2020-11-25,3.86,280,No,Y,moderate,"Quiet neighborhood, perfect for families"
22,4380,2017-08-10,Nairobi,Karen,Loft,Entire home/apt,6789,three,257,2021-04-08,4.0,289,Y,False,Flexible,Affordable stay $$$
23,1769,2020-08-31,Eldoret,Parklands,Bungalow,Shared room,"KES 2,097",seven,248,2019-06-06,4.24,72,1,Yes,moderate,Affordable stay $$$
24,3391,2021-10-01,Mombasa,Westlands,Villa,Hotel room,16525,2,244,2021-07-21,4.66,136,No,N,strict,Spacious apartment with great view!!!
25,2515,2015-04-19,Nairobi,Karen,Condo,Entire home/apt,8645,30,250,2019-10-01,4.92,337,True,False,moderate,
26,4485,2021-04-17,Mombasa,Kilimani,Apartment,Entire home/apt,"KES 4,402",seven,122,2022-09-23,3.67,255,Y,No,flexible,"Quiet neighborhood, perfect for families"
27,3853,2017-03-25,Kisumu,Karen,Loft,Shared room,24529,seven,168,2020-06-28,4.0,140,True,True,super_strict_30,Cozy place near city center
28,3433,2023-01-11,Eldoret,Nyali,Condo,Shared room,10455,7,174,2019-09-04,3.98,207,1,No,flexible,Modern loft -- newly renovated
29,2215,2022-04-15,Nakuru,Karen,Bungalow,Entire home/apt,9194,1,268,2016-08-14,,259,Y,True,flexible,Luxury villa with pool & gym access
30,1955,2022-11-12,Mombasa,Kilimani,Bungalow,Private room,6330,14,203,2020-06-08,,262,Y,Yes,Strict ,Spacious apartment with great view!!!
31,3324,2021-02-10,Kisumu,Parklands,Loft,Entire home/apt,11334,three,65,2016-06-13,,270,Y,No,super_strict_30,
32,2184,2019-09-15,Nakuru,Milimani,Villa,Private room,11989$,1,58,2020-10-03,3.73,37,False,False,Strict ,
33,1459,2017-06-21,Nakuru,Westlands,Bungalow,Shared room,"KES 17,268",2,218,2016-04-28,4.72,202,0,Y,moderate,Modern loft -- newly renovated
34,4385,2020-01-14,Mombasa,CBD,Apartment,Private room,11864,1,265,2020-02-09,4.64,223,No,Y,Flexible,Luxury villa with pool & gym access
35,1021,2021-08-10,Nairobi,Karen,Condo,Hotel room,3660,7,140,2023-05-16,4.23,346,False,N,,Affordable stay $$$
36,3300,2018-02-13,Mombasa,Langata,Apartment,Shared room,"KES 14,768",2,235,,4.31,51,Yes,True,,
37,1747,2024-01-29,Kisumu,Langata,Villa,Entire home/apt,23762,,217,2025-05-03,3.59,80,1,1,,
38,3904,2024-09-30,Nakuru,Parklands,Apartment,Entire home/apt,21633,,14,2021-09-30,4.33,355,0,False,moderate,Affordable stay $$$
39,4632,2015-01-27,Mombasa,Kilimani,Apartment,Shared room,15985,5,137,2016-03-27,,210,1,False,super_strict_30,Modern loft -- newly renovated
40,1474,2023-07-06,Nairobi,CBD,House,Shared room,4422,1,231,,4.69,6,Y,No,strict,
41,2082,2024-01-14,Mombasa,CBD,Apartment,Hotel room,"KES 24,370",30,88,2015-06-14,4.36,362,No,N,moderate,Spacious apartment with great view!!!
42,3558,2016-10-15,Eldoret,Nyali,Loft,Shared room,5304$,three,76,2016-04-27,3.9,44,0,False,flexible,Luxury villa with pool & gym access
43,4753,2022-10-30,Nairobi,CBD,Condo,Entire home/apt,22762,7,135,2019-03-14,4.5,314,1,0,super_strict_30,Cozy place near city center
44,3047,2019-09-28,Kisumu,Langata,House,Hotel room,3868,2,109,2020-06-13,4.04,276,0,N,super_strict_30,Spacious apartment with great view!!!
45,4547,2018-10-25,Nakuru,Milimani,Condo,Entire home/apt,16657,three,,,4.32,258,False,Yes,moderate,Luxury villa with pool & gym access
46,3747,2018-02-12,Mombasa,Kilimani,Condo,Private room,"KES 9,593",1,90,,4.23,141,Yes,False,moderate,Modern loft -- newly renovated
47,1975,2016-09-28,Nairobi,Kilimani,Villa,Shared room,5432,30,189,2019-09-24,4.07,257,0,True,Strict ,Cozy place near city center
48,2806,2017-05-31,Eldoret,Karen,Villa,Private room,13052,1,72,,,284,True,No,Strict ,Cozy place near city center
49,1189,2025-09-25,Nairobi,Karen,House,Entire home/apt,7108,14,172,2024-12-20,4.58,36,Y,Yes,flexible,"Quiet neighborhood, perfect for families"
50,4005,2023-07-25,Eldoret,Karen,Bungalow,Private room,24519,14,34,2017-01-19,4.7,44,Yes,Y,super_strict_30,
51,3734,2018-10-10,Kisumu,Langata,Villa,Private room,14399,7,209,2020-06-25,3.51,119,Y,1,,Affordable stay $$$
52,4005,2016-02-23,Nakuru,Langata,Villa,Entire home/apt,24279,2,297,,4.9,45,Y,Yes,strict,Luxury villa with pool & gym access
53,1562,2016-01-15,Kisumu,Parklands,Villa,Entire home/apt,23985,2,132,2015-10-04,4.27,139,0,0,strict,Cozy place near city center
54,2899,2019-04-06,Mombasa,Langata,Condo,Shared room,10792,seven,282,2019-09-07,4.55,52,False,0,super_strict_30,"Quiet neighborhood, perfect for families"
55,4638,2016-02-01,Nairobi,Langata,House,Private room,11362,7,197,2018-06-22,4.78,300,Yes,False,flexible,
56,2267,2019-01-10,Eldoret,Langata,Condo,Hotel room,7031,7,31,2025-02-04,4.2,287,Yes,Yes,,Cozy place near city center
57,3879,2024-07-03,Eldoret,Langata,Loft,Hotel room,11912,30,135,2019-03-26,4.75,273,Yes,Yes,Strict ,Modern loft -- newly renovated
58,2528,2018-11-09,Nairobi,Milimani,Condo,Entire home/apt,22854,14,247,2023-01-28,3.77,268,No,Y,Strict ,Luxury villa with pool & gym access
59,4202,2021-10-08,Nairobi,Langata,Loft,Entire home/apt,7844,2,145,2016-06-27,3.74,278,True,1,Strict ,Affordable stay $$$
60,4556,2017-12-19,Mombasa,Parklands,Apartment,Private room,"KES 18,259",1,142,2020-08-29,4.49,61,N,1,strict,Spacious apartment with great view!!!
61,4890,2024-01-19,Kisumu,CBD,Apartment,Entire home/apt,9387,7,233,2023-07-17,4.81,53,0,N,strict,Spacious apartment with great view!!!
62,1646,2015-06-27,Eldoret,CBD,Loft,Hotel room,19493,5,43,2020-01-14,4.84,68,True,Y,flexible,"Quiet neighborhood, perfect for families"
63,3068,2023-03-08,Mombasa,Nyali,Loft,Shared room,17658,3,31,,4.47,241,1,N,strict,Spacious apartment with great view!!!
64,3888,2020-02-25,Kisumu,Milimani,Condo,Shared room,20823,2,230,2016-01-01,4.29,269,Yes,True,moderate,Cozy place near city center
65,3214,2021-01-05,Mombasa,Karen,Loft,Private room,"KES 21,946",,27,2022-06-14,3.0,251,False,Y,strict,Affordable stay $$$
66,2297,2016-05-26,Eldoret,Westlands,House,Shared room,"KES 19,497",2,159,2019-05-06,,353,Y,Y,Strict ,Affordable stay $$$
67,3435,2025-11-29,Nairobi,Langata,Apartment,Entire home/apt,24462,5,206,2019-06-08,4.9,283,N,No,flexible,Cozy place near city center
68,1600,2025-05-05,Nairobi,Nyali,Apartment,Entire home/apt,5179,2,17,2015-07-07,3.98,350,Y,True,super_strict_30,Cozy place near city center
69,3363,2019-03-31,Kisumu,Westlands,Bungalow,Entire home/apt,"KES 9,040",5,102,2024-12-24,4.62,70,1,Yes,super_strict_30,"Quiet neighborhood, perfect for families"
70,3061,2015-11-19,Nakuru,Parklands,Loft,Entire home/apt,10988,3,69,2018-02-10,4.3,322,False,True,flexible,Spacious apartment with great view!!!
71,1241,2021-03-11,Kisumu,CBD,Villa,Private room,8574,seven,118,2024-09-16,4.41,99,Y,True,moderate,Cozy place near city center
72,3041,2018-04-15,Nakuru,Nyali,Villa,Shared room,"KES 5,496",30,138,,4.09,60,Y,0,super_strict_30,Affordable stay $$$
73,3824,2024-04-20,Mombasa,Parklands,Loft,Hotel room,22670,3,159,,4.95,102,0,False,Strict ,Spacious apartment with great view!!!
74,4417,2022-01-18,Mombasa,Nyali,House,Shared room,7195,three,231,2023-08-27,4.36,118,1,1,super_strict_30,Affordable stay $$$
75,3612,2021-12-08,Eldoret,Kilimani,Villa,Entire home/apt,24882$,seven,147,2021-04-17,4.91,16,Yes,True,super_strict_30,Cozy place near city center
76,3945,2024-12-05,Nakuru,Parklands,Bungalow,Hotel room,"KES 15,735",30,242,2022-03-22,3.51,304,Yes,False,Strict ,
77,2363,2024-08-30,Eldoret,CBD,Loft,Private room,"KES 3,866",14,34,2017-02-27,,190,No,Yes,strict,Luxury villa with pool & gym access
78,3139,2019-01-21,Nairobi,CBD,House,Entire home/apt,15664,5,238,2021-01-28,,211,False,True,moderate,"Quiet neighborhood, perfect for families"
79,2390,2021-06-22,Nakuru,Milimani,House,Entire home/apt,8264$,7,148,2015-08-05,4.36,77,Y,False,,
80,4003,2017-02-26,Kisumu,Nyali,Condo,Hotel room,"KES 17,027",three,110,2020-11-07,4.58,45,Y,0,Strict ,"Quiet neighborhood, perfect for families"
81,2478,2022-11-25,Nairobi,Langata,House,Private room,17792,3,16,,4.62,92,1,No,Strict ,Spacious apartment with great view!!!
82,4499,2015-10-12,Nairobi,CBD,Villa,Hotel room,3114,2,225,2025-01-21,4.86,12,False,True,Flexible,
83,3556,2015-07-07,Kisumu,Nyali,Villa,Private room,22439,3,139,,3.51,227,N,No,flexible,Cozy place near city center
84,1775,2022-06-01,Nairobi,Milimani,Loft,Entire home/apt,15896,30,143,2020-12-18,3.5,300,No,N,moderate,
85,1034,2017-07-22,Nakuru,Langata,Loft,Shared room,20300,three,259,,4.21,16,Y,0,strict,Luxury villa with pool & gym access
86,3253,2023-09-02,Eldoret,Parklands,House,Entire home/apt,"KES 24,746",1,216,,3.54,302,True,Y,Flexible,Affordable stay $$$
87,4152,2018-03-31,Nairobi,Milimani,Bungalow,Shared room,21537,30,161,2017-10-01,4.96,61,No,No,,Modern loft -- newly renovated
88,2955,2015-11-23,Nakuru,Kilimani,Apartment,Shared room,24523,seven,91,2024-05-29,2.7,42,True,0,Strict ,Affordable stay $$$
89,2585,2024-08-04,Mombasa,Langata,Condo,Private room,"KES 18,380",3,173,2019-12-25,4.21,67,0,Yes,,Affordable stay $$$
90,4943,2017-08-11,Nakuru,Nyali,Apartment,Hotel room,18388,3,204,,3.59,211,Yes,No,,Spacious apartment with great view!!!
91,4459,2024-09-19,Eldoret,CBD,House,Private room,"KES 7,233",three,152,2018-08-05,4.28,202,False,True,,Affordable stay $$$
92,4073,2016-02-18,Nakuru,CBD,House,Entire home/apt,"KES 4,716",5,102,2015-07-04,4.07,213,No,1,Flexible,Spacious apartment with great view!!!
93,2021,2019-04-06,Kisumu,Nyali,Apartment,Hotel room,23572,three,201,2025-06-22,3.57,108,Yes,Y,strict,Modern loft -- newly renovated
94,4461,2018-02-12,Eldoret,Nyali,Condo,Shared room,5864,7,279,,,283,0,True,Flexible,"Quiet neighborhood, perfect for families"
95,3613,2020-02-01,Mombasa,Nyali,Apartment,Shared room,13769,3,64,2019-08-27,4.0,93,Yes,No,Flexible,
96,2129,2022-02-16,Kisumu,Karen,Loft,Entire home/apt,23926,5,116,,4.09,224,No,Yes,Flexible,"Quiet neighborhood, perfect for families"
97,4843,2024-05-09,Nakuru,Langata,Villa,Hotel room,19361,5,152,2019-04-14,4.98,224,No,False,Strict ,Affordable stay $$$
98,4893,2019-02-03,Eldoret,CBD,Bungalow,Entire home/apt,15329,three,155,2016-04-14,,238,0,Yes,Strict ,Cozy place near city center
99,2500,2016-10-28,Mombasa,Langata,Loft,Entire home/apt,6460,14,163,2021-01-28,3.81,117,Yes,N,flexible,Cozy place near city center
100,1702,2019-02-25,Kisumu,Milimani,Villa,Private room,20281,30,81,,4.32,90,Y,N,super_strict_30,Spacious apartment with great view!!!
101,3449,2018-12-26,Mombasa,CBD,Bungalow,Entire home/apt,9801$,seven,5,,4.98,339,False,0,moderate,"Quiet neighborhood, perfect for families"
102,3777,2017-05-08,Nakuru,Karen,Bungalow,Hotel room,10341,14,66,2016-01-03,4.4,288,No,Yes,flexible,Affordable stay $$$
103,2579,2022-07-08,Mombasa,Nyali,Bungalow,Entire home/apt,24078,3,237,,4.99,280,No,1,strict,Affordable stay $$$
104,1161,2017-12-29,Nairobi,Kilimani,House,Hotel room,9230,3,71,2022-08-11,4.95,18,0,Y,Flexible,
105,1201,2022-11-14,Kisumu,Nyali,Bungalow,Shared room,19383,3,94,,4.23,174,Y,1,Strict ,"Quiet neighborhood, perfect for families"
106,2981,2025-07-03,Mombasa,Parklands,Condo,Entire home/apt,18479,,77,2018-08-25,4.54,105,True,N,Flexible,Modern loft -- newly renovated
107,1995,2022-08-31,Nakuru,Nyali,Apartment,Hotel room,2478,2,66,,3.67,288,No,No,Strict ,Cozy place near city center
108,3317,2022-04-08,Nakuru,Karen,Condo,Shared room,2230$,1,175,2018-05-05,4.16,247,Yes,N,,"Quiet neighborhood, perfect for families"
109,4934,2015-10-20,Mombasa,Langata,Apartment,Hotel room,1556,,171,2018-08-03,4.71,322,0,Y,moderate,
110,1815,2021-10-31,Nakuru,CBD,Loft,Shared room,3743,1,254,,4.26,141,N,1,flexible,Luxury villa with pool & gym access
111,4342,2022-02-13,Eldoret,Nyali,Loft,Private room,23763,5,62,2017-11-22,4.55,297,False,1,flexible,Luxury villa with pool & gym access
112,1455,2016-12-01,Eldoret,CBD,Apartment,Entire home/apt,3201,3,245,2024-04-13,,192,Yes,No,strict,Luxury villa with pool & gym access
113,4533,2020-12-27,Eldoret,Westlands,Condo,Entire home/apt,19170,7,191,2015-08-01,4.62,350,Y,N,,"Quiet neighborhood, perfect for families"
114,4798,2023-03-06,Nairobi,Milimani,Apartment,Shared room,9803,seven,70,2023-06-08,3.88,302,N,Yes,flexible,Luxury villa with pool & gym access
115,2275,2017-09-29,Mombasa,Langata,Bungalow,Private room,16600,three,228,2017-08-26,4.6,290,Yes,Yes,flexible,Affordable stay $$$
116,2016,2016-10-31,Nairobi,CBD,House,Hotel room,14498,seven,62,2023-06-09,3.4,331,Yes,1,super_strict_30,Luxury villa with pool & gym access
117,4773,2020-03-08,Nakuru,Kilimani,Loft,Private room,10893,7,296,2025-08-24,2.6,207,False,No,moderate,Luxury villa with pool & gym access
118,3343,2019-04-04,Nairobi,Milimani,House,Hotel room,2447,three,244,,4.8,247,No,True,Flexible,Affordable stay $$$
119,4796,2018-01-10,Nakuru,Parklands,Bungalow,Hotel room,22005,5,6,,3.3,141,True,No,flexible,
120,3767,2025-05-18,Nakuru,Parklands,Bungalow,Entire home/apt,8053,7,259,2019-07-26,4.63,310,0,Yes,strict,
121,4820,2022-03-06,Kisumu,Kilimani,Loft,Shared room,2257,3,88,,3.6,221,Yes,0,Flexible,Luxury villa with pool & gym access
122,1337,2022-09-19,Eldoret,Nyali,Loft,Entire home/apt,16366,7,176,,4.07,224,Yes,N,Strict ,Affordable stay $$$
123,1878,2021-03-31,Nakuru,Milimani,Bungalow,Entire home/apt,13080,3,203,2025-03-31,4.71,353,False,Yes,,Luxury villa with pool & gym access
124,2076,2017-06-18,Kisumu,CBD,Villa,Entire home/apt,7151,7,133,2018-01-07,4.38,183,1,Y,,Luxury villa with pool & gym access
125,1791,2022-09-05,Eldoret,Milimani,House,Hotel room,8773,7,81,2021-07-28,4.09,363,No,No,flexible,Luxury villa with pool & gym access
126,4993,2018-08-21,Nakuru,Nyali,House,Entire home/apt,11533,14,20,2017-10-05,3.66,304,1,0,flexible,Spacious apartment with great view!!!
127,3264,2024-06-14,Nakuru,Karen,Villa,Hotel room,5035,seven,127,2022-04-22,4.84,187,0,No,Flexible,Cozy place near city center
128,1763,2023-08-14,Nairobi,Langata,Condo,Shared room,20177,1,194,2018-06-01,3.55,112,1,True,Strict ,Cozy place near city center
129,3235,2023-09-14,Nairobi,Kilimani,House,Hotel room,18988,,193,2020-01-01,4.79,180,N,False,super_strict_30,Affordable stay $$$
130,1379,2015-08-18,Eldoret,Nyali,Apartment,Hotel room,10353,14,183,,4.04,198,Y,0,moderate,Cozy place near city center
131,1492,2017-07-27,Nakuru,Karen,Bungalow,Private room,2408,1,246,2017-04-13,4.46,69,False,True,super_strict_30,Luxury villa with pool & gym access
132,4112,2024-03-20,Mombasa,Milimani,Bungalow,Entire home/apt,24423,14,159,2016-08-06,4.88,85,True,1,strict,"Quiet neighborhood, perfect for families"
133,2180,2015-05-12,Nairobi,Milimani,Villa,Entire home/apt,6117,2,193,2016-11-19,3.73,38,N,True,Flexible,"Quiet neighborhood, perfect for families"
134,3062,2024-01-11,Eldoret,Nyali,House,Entire home/apt,11548,three,109,2021-01-10,4.35,130,True,N,flexible,"Quiet neighborhood, perfect for families"
135,4884,2018-07-16,Nakuru,CBD,Condo,Entire home/apt,24953,3,65,2025-10-12,,9,0,N,super_strict_30,Affordable stay $$$
136,1064,2019-07-02,Nakuru,Milimani,House,Private room,3811,,253,2020-01-25,4.65,2,Y,0,moderate,
137,4928,2018-01-01,Mombasa,CBD,Bungalow,Private room,"KES 17,520",14,282,,4.64,301,1,N,strict,
138,4910,2015-09-29,Eldoret,CBD,Loft,Private room,18673$,14,59,2025-10-11,4.29,149,1,1,,Affordable stay $$$
139,3568,2017-05-14,Nakuru,Langata,Apartment,Private room,15085,5,117,2018-03-30,,66,False,No,super_strict_30,"Quiet neighborhood, perfect for families"
140,2367,2025-03-29,Nairobi,CBD,Villa,Entire home/apt,15517,7,43,2016-11-16,4.44,192,No,No,flexible,
141,2152,2025-07-29,Mombasa,Westlands,Loft,Hotel room,18055,2,209,,4.64,96,True,Yes,moderate,Spacious apartment with great view!!!
142,3027,2021-05-12,Eldoret,Langata,Condo,Shared room,14052,,35,2020-05-29,4.76,18,No,0,flexible,Affordable stay $$$
143,3695,2024-10-29,Mombasa,Karen,Loft,Private room,"KES 14,837",,18,2017-10-24,4.64,317,Y,Yes,flexible,Affordable stay $$$
144,2495,2023-01-19,Nairobi,Karen,Loft,Hotel room,3385,three,90,2019-04-07,4.03,97,False,No,strict,Modern loft -- newly renovated
145,4134,2018-07-12,Eldoret,Milimani,Condo,Private room,"KES 2,549",,,2024-06-12,5.0,56,N,1,moderate,Luxury villa with pool & gym access
146,2162,2017-05-20,Mombasa,Milimani,Loft,Entire home/apt,22013,30,211,2021-07-24,4.15,350,1,False,Strict ,Affordable stay $$$
147,2522,2022-05-08,Kisumu,CBD,Villa,Entire home/apt,12003,,221,2018-02-26,3.54,106,No,True,,Spacious apartment with great view!!!
148,3640,2020-08-06,Nairobi,Langata,Bungalow,Hotel room,2661,14,216,,4.04,87,N,1,flexible,Modern loft -- newly renovated
149,1391,2019-06-09,Nairobi,Langata,House,Hotel room,2315,30,222,2021-04-25,3.69,140,No,Y,moderate,Spacious apartment with great view!!!
150,2698,2024-12-02,Nairobi,Westlands,Loft,Hotel room,5266,1,97,,3.68,143,Yes,False,flexible,
151,1418,2025-04-03,Kisumu,CBD,Villa,Entire home/apt,"KES 22,545",7,18,,3.92,51,1,True,super_strict_30,"Quiet neighborhood, perfect for families"
152,3336,2022-03-18,Kisumu,Westlands,House,Entire home/apt,4739,30,296,2024-04-24,3.58,211,0,No,super_strict_30,"Quiet neighborhood, perfect for families"
153,1378,2020-02-23,Nakuru,Parklands,House,Shared room,15442,1,25,,4.53,40,Yes,0,moderate,Cozy place near city center
154,2796,2016-08-08,Mombasa,CBD,Loft,Hotel room,9772,2,27,2018-02-18,3.61,303,Y,False,,
155,4561,2017-12-20,Nakuru,Kilimani,Villa,Shared room,20688$,seven,63,2017-05-13,3.8,90,0,N,strict,Spacious apartment with great view!!!
156,3278,2016-07-25,Mombasa,Kilimani,Bungalow,Private room,2369,3,222,2025-09-26,3.64,38,True,0,Strict ,
157,4065,2017-10-07,Kisumu,Nyali,Loft,Shared room,7026,14,79,2024-11-29,3.59,12,N,0,super_strict_30,
158,3088,2023-05-10,Kisumu,CBD,Condo,Private room,9241$,30,50,2018-11-04,3.9,95,Y,No,strict,Spacious apartment with great view!!!
159,4099,2021-04-18,Nakuru,Langata,House,Private room,6194,seven,101,2023-06-11,3.7,108,No,Y,Strict ,Modern loft -- newly renovated
160,3182,2021-01-16,Eldoret,Milimani,Loft,Shared room,3434,7,175,2018-01-23,4.9,103,False,No,super_strict_30,"Quiet neighborhood, perfect for families"
161,1200,2017-12-12,Nakuru,Karen,House,Hotel room,"KES 23,056",5,9,2018-08-10,4.81,353,1,False,Strict ,Affordable stay $$$
162,2863,2023-05-18,Mombasa,Nyali,Villa,Private room,18587,2,236,2020-02-27,,230,N,False,Flexible,
163,1779,2021-07-22,Nakuru,Milimani,Apartment,Hotel room,"KES 17,818",3,99,2018-09-07,4.81,42,0,0,flexible,Affordable stay $$$
164,3977,2019-10-21,Nairobi,Kilimani,Loft,Entire home/apt,20407,7,227,,3.76,208,False,No,moderate,Cozy place near city center
165,4104,2025-01-25,Mombasa,CBD,Bungalow,Private room,20523$,2,63,2022-04-01,3.9,87,1,Y,super_strict_30,Affordable stay $$$
166,4119,2021-07-18,Mombasa,Nyali,Loft,Entire home/apt,7659,5,18,2021-10-29,2.2,92,N,N,super_strict_30,
167,1502,2019-06-24,Eldoret,CBD,House,Shared room,17219,1,140,2025-02-09,4.67,173,0,0,flexible,Modern loft -- newly renovated
168,3454,2019-01-22,Kisumu,Kilimani,Villa,Hotel room,21793,5,24,,3.6,125,Y,False,super_strict_30,Cozy place near city center
169,4645,2017-06-17,Mombasa,Nyali,Condo,Shared room,14493,30,227,,4.34,108,True,No,super_strict_30,
170,2751,2016-07-20,Kisumu,Kilimani,Bungalow,Private room,"KES 15,313",3,88,2022-10-23,3.87,46,Yes,0,Flexible,Cozy place near city center
171,1804,2020-09-18,Nakuru,Westlands,Villa,Entire home/apt,2664,,91,2023-07-21,,213,True,0,super_strict_30,"Quiet neighborhood, perfect for families"
172,3146,2020-07-14,Nairobi,Kilimani,Loft,Private room,2119,three,41,2015-11-29,3.87,91,1,1,super_strict_30,Cozy place near city center
173,3731,2016-01-08,Eldoret,Langata,Condo,Shared room,9482,14,294,2022-04-12,4.99,180,True,Y,super_strict_30,Cozy place near city center
174,2895,2023-06-23,Kisumu,Langata,Villa,Hotel room,4566$,14,80,2021-01-15,4.64,40,Yes,True,strict,Affordable stay $$$
175,3773,2015-07-12,Mombasa,CBD,Apartment,Hotel room,22756,1,106,,4.76,258,True,Yes,super_strict_30,Modern loft -- newly renovated
176,2570,2024-08-28,Kisumu,Karen,Bungalow,Private room,10138,7,110,2022-07-13,4.36,120,False,False,flexible,"Quiet neighborhood, perfect for families"
177,1960,2016-03-25,Mombasa,Kilimani,House,Private room,3837,3,276,2016-05-20,4.81,76,N,Y,Flexible,Affordable stay $$$
178,4810,2016-09-18,Kisumu,Milimani,Villa,Entire home/apt,7094,,213,2024-02-12,3.9,94,N,N,super_strict_30,Cozy place near city center
179,3660,2022-01-14,Mombasa,Langata,Villa,Shared room,3960,1,230,2021-09-28,,268,1,True,Strict ,Modern loft -- newly renovated
180,2485,2016-10-17,Nakuru,Parklands,Apartment,Private room,"KES 8,320",three,120,2016-12-26,4.92,360,1,Yes,Flexible,Spacious apartment with great view!!!
181,3690,2023-11-19,Mombasa,Karen,Loft,Entire home/apt,23430,30,133,2024-02-08,3.92,17,N,Y,Flexible,Cozy place near city center
182,4840,2022-08-19,Mombasa,Westlands,Bungalow,Private room,4942$,30,207,2015-02-04,4.39,292,1,1,Strict ,Modern loft -- newly renovated
183,2028,2019-09-26,Nairobi,Nyali,Bungalow,Hotel room,17691,,256,,,170,Y,1,flexible,
184,4289,2021-09-08,Mombasa,Nyali,House,Entire home/apt,20595,,184,2017-03-01,4.54,161,0,True,strict,Luxury villa with pool & gym access
185,1502,2015-09-18,Nairobi,Langata,Villa,Entire home/apt,17826,,285,2017-06-26,4.09,310,N,0,,"Quiet neighborhood, perfect for families"
186,3814,2019-04-26,Eldoret,Karen,Condo,Private room,12029,5,179,2023-07-04,4.82,51,True,1,,
187,1397,2019-04-13,Nairobi,Langata,Villa,Shared room,19175,14,47,2025-05-02,4.97,35,1,True,flexible,Modern loft -- newly renovated
188,1870,2021-09-06,Nakuru,Nyali,House,Hotel room,11890,seven,86,2017-02-23,4.24,186,True,False,strict,Spacious apartment with great view!!!
189,3842,2020-04-01,Nairobi,Parklands,Villa,Shared room,15530,3,18,,4.09,247,Y,False,moderate,Affordable stay $$$
190,1392,2020-12-07,Eldoret,Kilimani,Apartment,Entire home/apt,6874,seven,45,2018-05-26,4.21,51,Yes,Y,Strict ,Cozy place near city center
191,1206,2017-10-26,Nakuru,Karen,Villa,Shared room,14642,5,55,2017-06-24,,18,0,Yes,Flexible,Modern loft -- newly renovated
